,county,lat,long,percent
101,Franklin AR,35.5085579,-93.8876647,0.26391437308868504
102,Fulton AR,36.3836192,-91.8196636,0.32109685979655017
103,Garland AR,34.5788523,-93.1469323,0.3389314476527205
104,Grant AR,34.2855683,-92.4229794,0.22657817564438956
105,Greene AR,36.1206072,-90.5663459,0.2906765496693554
106,Hempstead AR,33.735953,-93.6643553,0.35659586764918366
107,Howard AR,34.0830639,-93.9909315,0.3296727924697445
108,Independence AR,35.7374992,-91.5599423,0.26466080503347583
109,Izard AR,36.0948792,-91.9136252,0.2887457370215991
110,Jackson AR,35.5964674,-91.2232051,0.3918084907424724
111,Jefferson AR,34.277239,-91.929673,0.6379870722711171
112,Johnson AR,35.5733586,-93.4663223,0.3456408989874043
113,Lafayette AR,33.2406294,-93.611514,0.400477978832366
114,Lawrence AR,36.0410983,-91.1011529,0.3227436823104693
115,Lee AR,34.7795048,-90.7797172,0.6153621495327103
116,Lincoln AR,33.957675,-91.7276258,0.3824476650563607
117,Logan AR,35.2186538,-93.7209102,0.2740417405538126
118,Lonoke AR,34.7551137,-91.894132,0.23326698183627767
119,Madison AR,36.0125452,-93.7240531,0.3195797807551766
120,Marion AR,36.2666636,-92.6785765,0.2888951921713232
121,Miller AR,33.3055054,-93.9015018,0.2947354687194207
122,Mississippi AR,35.7669437,-90.0522072,0.4835140186915888
123,Monroe AR,34.6795117,-91.2033099,0.49009287925696593
124,Montgomery AR,34.5456557,-93.664153,0.2702702702702703
125,Nevada AR,33.6666991,-93.3050716,0.3882978723404255
126,Newton AR,35.9107423,-93.2158984,0.2712373668396613
127,Ouachita AR,33.5911684,-92.8784131,0.4491517207949588
128,Perry AR,34.9463629,-92.9268773,0.30142204164550535
129,Phillips AR,34.4236874,-90.8555931,0.6559899117276167
130,Pike AR,34.1581907,-93.6586589,0.22465681098204857
131,Poinsett AR,35.5688702,-90.6811037,0.31613756613756616
132,Polk AR,34.4909149,-94.2308841,0.20139787729743722
133,Pope AR,35.456557,-93.0268181,0.25079504868144237
134,Prairie AR,34.8311162,-91.5536205,0.2801655523718561
135,Pulaski AR,34.7703106,-92.312996,0.5474178227015767
136,Randolph AR,36.3412985,-91.0284409,0.3435191403626595
137,Saline AR,34.6485246,-92.674463,0.2734477922740215
138,Scott AR,34.8588693,-94.0636413,0.24642857142857144
139,Searcy AR,35.8963868,-92.6958884,0.22035733622089876
140,Sebastian AR,35.1969808,-94.2749889,0.3019233430192334
141,Sevier AR,33.9948773,-94.2432792,0.24064665127020785
142,Sharp AR,36.1733989,-91.4710689,0.2872442674721955
143,Stone AR,35.8570011,-92.1404819,0.25326858423608517
144,Union AR,33.1682186,-92.5981447,0.3607149094719683
145,Washington AR,35.978001,-94.2172695,0.4007380073800738
146,White AR,35.2551175,-91.7530339,0.21743229991702498
147,Woodruff AR,35.1927768,-91.2445353,0.49906890130353815
148,Yell AR,34.9977133,-93.4083032,0.2882490793438232
149,Alameda CA,37.6471385,-121.912488,0.7885340523334486
150,Alpine CA,38.6217831,-119.7983522,0.5957120980091883
151,Amador CA,38.4435501,-120.6538563,0.3869907643492549
152,Butte CA,39.6659588,-121.6019188,0.4701714562764457
153,Calaveras CA,38.1838996,-120.5614415,0.3979619939410631
154,Colusa CA,39.1777385,-122.2375629,0.3834935366257872
155,Fresno CA,36.7610058,-119.6550193,0.4989008101936815
156,Glenn CA,39.6025462,-122.4016998,0.35837585495603086
157,Humboldt CA,40.7066554,-123.9261757,0.5995649904297895
158,Imperial CA,33.0408143,-115.3554001,0.6517827045248282
159,Inyo CA,36.561977,-117.4039269,0.4258337481333997
160,Kern CA,35.3466288,-118.7295064,0.4040917136251987
161,Kings CA,36.072478,-119.8155301,0.4131071360366669
162,Lake CA,39.0948019,-122.7467569,0.5627378051387286
163,Lassen CA,40.7210862,-120.6299518,0.2857811476177104
164,Madera CA,37.2098213,-119.7498023,0.4017960166557969
165,Marin CA,38.0518169,-122.7459738,0.7426328466502126
166,Mariposa CA,37.5700295,-119.9128613,0.38866666666666666
167,Mendocino CA,39.4323876,-123.4428811,0.6623354370734215
168,Merced CA,37.1948063,-120.7228019,0.5318497510353385
169,Modoc CA,41.5929185,-120.7183704,0.2787255393878575
170,Mono CA,37.9158363,-118.8751668,0.527504342790967
171,Monterey CA,36.240107,-121.3155723,0.6713191599604916
172,Napa CA,38.5070999,-122.3259045,0.6296517343069794
173,Nevada CA,39.2975082,-120.7713429,0.4772621719947364
174,Orange CA,33.6756872,-117.7772068,0.45645001532070145
175,Placer CA,39.0620323,-120.7227181,0.39001412544798686
176,Plumas CA,39.9922953,-120.8243709,0.40071663183039713
177,Riverside CA,33.7298275,-116.0022389,0.49714385857831994
178,Sacramento CA,38.4500161,-121.3404408,0.5814585272315305
179,Shasta CA,40.7605142,-122.0435556,0.3382327896770813
180,Sierra CA,39.5769252,-120.5219926,0.3637883008356546
181,Siskiyou CA,41.5879861,-122.5332868,0.40411853340030135
182,Solano CA,38.2672255,-121.939594,0.6348757576552702
183,Sonoma CA,38.5251824,-122.9261095,0.7110222255066787
184,Stanislaus CA,37.5623162,-121.0028311,0.5002542334699972
185,Sutter CA,39.0361898,-121.7039397,0.39296074260297814
186,Tehama CA,40.1261573,-122.2322737,0.3453018235626931
187,Trinity CA,40.6478033,-123.114476,0.4712724709199859
188,Tulare CA,36.2288339,-118.7810551,0.41297725024727994
189,Tuolumne CA,38.0214344,-119.9647335,0.4049904808198647
190,Ventura CA,34.3587415,-119.1331432,0.5227602194669912
191,Yolo CA,38.6795955,-121.9024413,0.6541121181604566
192,Yuba CA,39.27013,-121.3442587,0.3914213197969543
193,Adams CO,39.8743252,-104.3318718,0.5711229643080066
194,Alamosa CO,37.5684423,-105.7880414,0.5675353685778108
195,Arapahoe CO,39.6445537,-104.3317065,0.5390415948668376
196,Archuleta CO,37.2023952,-107.0508634,0.3978318978318978
197,Baca CO,37.3097802,-102.5437412,0.22174738841405509
198,Bent CO,37.9318907,-103.0775841,0.4196704428424305
199,Boulder CO,40.0949699,-105.3976911,0.6968896762656059
200,Broomfield CO,39.9535933,-105.0507868,0.5176190621472374
201,Chaffee CO,38.7382234,-106.3166833,0.4861403173389409
202,Cheyenne CO,38.8356456,-102.6017914,0.15736505032021958
203,Conejos CO,37.2134065,-106.1764473,0.539624481833699
204,Costilla CO,37.2775474,-105.4289399,0.7294501905280348
205,Crowley CO,38.3061801,-103.7727363,0.3561917443408788
206,Custer CO,38.1019955,-105.3735123,0.3197053406998158
207,Delta CO,38.8615949,-107.8648924,0.29023547880690737
208,Denver CO,39.7618502,-104.8811054,0.7359045920701107
209,Dolores CO,37.7117226,-108.5241156,0.26827309236947794
210,Douglas CO,39.325414,-104.9259871,0.3635155351321067
211,Eagle CO,39.6269919,-106.6951694,0.5643197458973002
212,Elbert CO,39.3151572,-104.1140759,0.25412611087600506
213,Fremont CO,38.4551696,-105.4249583,0.3283699059561129
214,Garfield CO,39.5993517,-107.9097802,0.46316781383153066
215,Gilpin CO,39.8611555,-105.5288778,0.566806470940683
216,Grand CO,40.1130652,-106.1108366,0.44998167827042873
217,Gunnison CO,38.6704993,-107.0568798,0.581977616245529
218,Hinsdale CO,37.8211654,-107.3382613,0.38166666666666665
219,Huerfano CO,37.6878154,-104.9599278,0.5258481421647819
220,Jackson CO,40.6634319,-106.3292476,0.25471698113207547
221,Jefferson CO,39.5795106,-105.245462,0.5121201599732521
222,Kiowa CO,38.387663,-102.7568494,0.14372716199756394
223,Lake CO,39.2053405,-106.350079,0.6049342105263158
224,Larimer CO,40.6580933,-105.4867638,0.5147463647463647
225,Lincoln CO,38.9937401,-103.5075545,0.24136423261915171
226,Logan CO,40.7280911,-103.0904639,0.29723805348531346
227,Mesa CO,39.019524,-108.4605707,0.32689486887740415
228,Mineral CO,37.5490672,-107.003236,0.44769230769230767
229,Moffat CO,40.6108644,-108.2171545,0.21562905317769132
230,Montezuma CO,37.3380247,-108.5957864,0.3687286897223575
231,Montrose CO,38.4075069,-108.2662815,0.30491803278688523
232,Morgan CO,40.263159,-103.8122102,0.3629952676997309
233,Otero CO,37.8841698,-103.7212597,0.4451904296875
234,Ouray CO,38.1547313,-107.7884802,0.514053716427233
235,Park CO,39.1189141,-105.7176479,0.41234251548152895
236,Phillips CO,40.5947117,-102.3451047,0.2596026490066225
237,Pitkin CO,39.2175376,-106.9161587,0.6798014888337469
238,Prowers CO,37.9581814,-102.3921613,0.3123586263623278
239,Pueblo CO,38.1706581,-104.4898924,0.5584560464078536
240,Routt CO,40.4836638,-106.9877021,0.5667192310580461
241,Saguache CO,38.0316514,-106.2346662,0.6361774744027304
242,Sedgwick CO,40.8715679,-102.3553579,0.3131539611360239
243,Summit CO,39.6210227,-106.1375545,0.6104362591431557
244,Teller CO,38.8699759,-105.1873651,0.32318937868277764
245,Washington CO,39.9657899,-103.2097445,0.18062524121960633
246,Weld CO,40.555961,-104.383666,0.4233338511729066
247,Yuma CO,40.0007703,-102.4216491,0.21564343456412496
248,Fairfield CT,41.2274128,-73.3670614,0.5485421452553455
249,Hartford CT,41.8060534,-72.7329157,0.6236972261880481
250,Litchfield CT,41.7918833,-73.2354042,0.47449338396788815
251,Middlesex CT,41.4330028,-72.5227802,0.5728530728530729
252,Tolland CT,41.8580807,-72.3409779,0.5550135348522446
253,Windham CT,41.8249987,-71.9907017,0.558287090807416
254,Kent DE,39.0970884,-75.5029819,0.5171625713287528
255,Sussex DE,38.6732275,-75.3370237,0.4287828894442716
256,Alachua FL,29.6757403,-82.357221,0.5788088159577471
257,Baker FL,30.3244416,-82.3022838,0.2032899366643209
258,Bay FL,30.2382176,-85.6316798,0.276117253728353
259,Bradford FL,29.9523863,-82.1666793,0.28577567683712934
260,Brevard FL,28.2983112,-80.7003334,0.43070959066252507
261,Broward FL,26.1935353,-80.4766834,0.6719952619040694
262,Calhoun FL,30.3888013,-85.1979155,0.270481144343303
263,Charlotte FL,26.8689745,-81.9412782,0.4240098249923242
264,Citrus FL,28.8436402,-82.5248099,0.38493271116521266
265,Clay FL,29.9865835,-81.8650364,0.26668668274855317
266,Collier FL,26.118786,-81.4009553,0.3467058318579323
267,Columbia FL,30.2216509,-82.6233712,0.31152670912638514
268,Dixie FL,29.5808994,-83.1956656,0.2590404840801037
269,Duval FL,30.3352449,-81.6481132,0.4776932266272994
270,Escambia FL,30.6116382,-87.3388996,0.391812904876702
271,Flagler FL,29.4748909,-81.2862532,0.45868168791382546
272,Franklin FL,29.8101756,-84.7991742,0.3370478626233102
273,Gadsden FL,30.5786866,-84.6126072,0.7009200408907063
274,Gilchrist FL,29.7234556,-82.7958011,0.2383360728284233
275,Glades FL,26.9548102,-81.1908197,0.40185510152920534
276,Gulf FL,29.9072571,-85.2565366,0.28334271243669107
277,Hamilton FL,30.4911868,-82.9510714,0.41205844275938597
278,Hardee FL,27.4928458,-81.8215798,0.3408524771657902
279,Hendry FL,26.539967,-81.1521142,0.4664702994599902
280,Hernando FL,28.5730426,-82.4662272,0.45214959302950986
281,Highlands FL,27.3410799,-81.3423534,0.3804542455941947
282,Hillsborough FL,27.9066072,-82.3497186,0.528437452730298
283,Holmes FL,30.8620072,-85.8159385,0.15276770606719844
284,Jackson FL,30.7892485,-85.2088141,0.35060407812425387
285,Jefferson FL,30.4245577,-83.8908594,0.5052510245901639
286,Lafayette FL,29.9900661,-83.1785097,0.20211827007943514
287,Lake FL,28.7641128,-81.7122822,0.40977780135401265
288,Lee FL,26.5590348,-81.8919943,0.41386578300759674
289,Leon FL,30.4593104,-84.2778004,0.6125996777955283
290,Levy FL,29.2844566,-82.783462,0.33257242241426166
291,Liberty FL,30.2598494,-84.8685805,0.2868453105968331
292,Madison FL,30.4472325,-83.4704159,0.47917383820998277
293,Manatee FL,27.4816825,-82.3687669,0.4332697031096286
294,Marion FL,29.2028047,-82.0431004,0.41410911794776467
295,Martin FL,27.0836036,-80.3982011,0.38171490877740166
296,Monroe FL,24.7688833,-80.9532703,0.496812351179046
297,Nassau FL,30.6059629,-81.7650867,0.25293624161073824
298,Okaloosa FL,30.665851,-86.5941872,0.24706217430747485
299,Okeechobee FL,27.3855924,-80.8873884,0.3940279130152548
300,Orange FL,28.5143906,-81.3232839,0.5868118766872731
301,Osceola FL,28.0590267,-81.1393116,0.6185854385545272
302,Pasco FL,28.3077107,-82.4648324,0.4600909290968428
303,Pinellas FL,27.9031078,-82.7395188,0.5224010382301147
304,Polk FL,27.9536488,-81.6935337,0.4609161060466538
305,Putnam FL,29.5938964,-81.7320389,0.37246200996041373
306,Sarasota FL,27.1843855,-82.3658351,0.4584490071332177
307,Seminole FL,28.6900918,-81.1319894,0.4622998753714888
308,Sumter FL,28.7141008,-82.0743472,0.3228227979959986
309,Suwannee FL,30.1892438,-82.9927542,0.2694991207669181
310,Taylor FL,30.0099084,-83.6094825,0.3030701754385965
311,Union FL,30.0542796,-82.366918,0.2482848136473206
312,Volusia FL,29.057769,-81.161792,0.489255380837057
313,Wakulla FL,30.139432,-84.3748463,0.3530013642564802
314,Walton FL,30.6312106,-86.1766139,0.23411946374675371
315,Washington FL,30.6022166,-85.6627968,0.2563869442676607
316,Appling GA,31.739712,-82.2901025,0.2480948348856901
317,Atkinson GA,31.2968056,-82.8781511,0.32046864231564437
318,Bacon GA,31.5502095,-82.4514325,0.2012210633426609
319,Baker GA,31.3195798,-84.4548812,0.49968533668974197
320,Baldwin GA,33.0594897,-83.2554566,0.5224165537627786
321,Banks GA,34.3519216,-83.4984409,0.12590799031476999
322,Barrow GA,33.9920094,-83.7123025,0.23921584189848805
323,Bartow GA,34.2409175,-84.8381879,0.23451203843360707
324,Berrien GA,31.2886522,-83.2278695,0.20528946944041285
325,Bibb GA,32.8088446,-83.6941941,0.5962019839920888
326,Bleckley GA,32.4354034,-83.3317174,0.25861014876706745
327,Brantley GA,31.1973339,-81.9829779,0.15644785071642786
328,Brooks GA,30.8229337,-83.5819054,0.465440522100267
329,Bryan GA,32.0179692,-81.4385431,0.27555192150449714
330,Bulloch GA,32.3917111,-81.744021,0.39829769566119994
331,Burke GA,33.0601805,-82.0001638,0.5527150015338992
332,Butts GA,33.2903551,-83.9582206,0.3163841807909605
333,Calhoun GA,31.521279,-84.6262895,0.593235831809872
334,Camden GA,30.913358,-81.6420193,0.3546126897625535
335,Candler GA,32.4039497,-82.0712656,0.32794784580498865
336,Carroll GA,33.5822366,-85.0805272,0.30537437724132954
337,Catoosa GA,34.9002176,-85.1393857,0.2265816369625813
338,Charlton GA,30.7799036,-82.1396442,0.31801275239107335
339,Chatham GA,31.9804037,-81.085184,0.5546083882608536
340,Chattahoochee GA,32.3474454,-84.7880206,0.489261744966443
341,Chattooga GA,34.4741785,-85.3452894,0.285349015597034
342,Cherokee GA,34.2443166,-84.4750574,0.20200570148645897
343,Clarke GA,33.9521852,-83.3671522,0.6299791914387634
344,Clay GA,31.6198309,-84.9925826,0.6148359486447932
345,Clayton GA,33.5426863,-84.3555727,0.8481476469547296
346,Clinch GA,30.9176531,-82.7026143,0.3446601941747573
347,Cobb GA,33.9399298,-84.5741123,0.42927162739104074
348,Coffee GA,31.5492452,-82.8449401,0.3498685484986855
349,Colquitt GA,31.1897075,-83.769773,0.29809423769507803
350,Columbia GA,33.5476313,-82.2522957,0.27919488145545884
351,Cook GA,31.1525157,-83.4294448,0.3385839827557619
352,Coweta GA,33.3528965,-84.7621381,0.2730267302673027
353,Crawford GA,32.7094283,-83.9791874,0.33235924410676015
354,Crisp GA,31.9151485,-83.7535309,0.42820443482963766
355,Dade GA,34.8524237,-85.5062006,0.23438538205980067
356,Dawson GA,34.4426077,-84.1732611,0.12114408434205388
357,Decatur GA,30.8806431,-84.5838902,0.437863614687649
358,Dodge GA,32.164369,-83.1678658,0.3157894736842105
359,Dooly GA,32.1519954,-83.807167,0.5316426244765007
360,Dougherty GA,31.5325876,-84.20904,0.6934518315356417
361,Douglas GA,33.7012421,-84.7673139,0.5146108889572439
362,Early GA,31.3241906,-84.9067225,0.5165327853540072
363,Echols GA,30.7140081,-82.8973758,0.1569872958257713
364,Effingham GA,32.3616802,-81.343372,0.23765372790161415
365,Elbert GA,34.116413,-82.8419087,0.3906422694338696
366,Emanuel GA,32.5910995,-82.2997628,0.362118025485587
367,Evans GA,32.1530834,-81.890153,0.3558798765085602
368,Fannin GA,34.8665427,-84.3173308,0.20245582509733454
369,Fayette GA,33.4127172,-84.4939407,0.3369758229750034
370,Floyd GA,34.2636918,-85.2136851,0.2936428158031009
371,Forsyth GA,34.225143,-84.1274075,0.17827996720950434
372,Franklin GA,34.3752657,-83.2275325,0.19312032981190416
373,Fulton GA,33.7900338,-84.4681816,0.6428325193186937
374,Gilmer GA,34.6905055,-84.4546244,0.17770920312216373
375,Glascock GA,33.2274908,-82.6069126,0.13203300825206302
376,Glynn GA,31.2127098,-81.4964503,0.3606676123502249
377,Gordon GA,34.5096669,-84.8738622,0.20358643546191632
378,Grady GA,30.8759076,-84.2450803,0.36387824606215413
379,Greene GA,33.5767403,-83.1666127,0.3845969001561937
380,Gwinnett GA,33.9591457,-84.023087,0.4465672265509153
381,Habersham GA,34.6343924,-83.5258749,0.15716139607950277
382,Hall GA,34.3175689,-83.8184997,0.21183430024118374
383,Hancock GA,33.2692195,-83.0004653,0.8091976516634051
384,Haralson GA,33.7951646,-85.2200629,0.1724171164225135
385,Harris GA,32.7315494,-84.912432,0.26762654958677684
386,Hart GA,34.3487328,-82.96329,0.3017558616338976
387,Heard GA,33.2913469,-85.1378862,0.22722914669223393
388,Henry GA,33.4529466,-84.1540207,0.478900829521329
389,Houston GA,32.4582875,-83.6625217,0.3910362408708833
390,Irwin GA,31.6043062,-83.2770374,0.30763008897276894
391,Jackson GA,34.1309052,-83.5625568,0.17878839014512318
392,Jasper GA,33.3169807,-83.6891515,0.3059194163488642
393,Jefferson GA,33.0581756,-82.4200036,0.5838585913949027
394,Jenkins GA,32.7945631,-81.9715244,0.4389380530973451
395,Johnson GA,32.6945842,-82.6639696,0.34597030752916225
396,Jones GA,33.0216636,-83.5621958,0.3530772408095828
397,Lamar GA,33.0744405,-84.1466893,0.34272918861959956
398,Lanier GA,31.0381973,-83.0631635,0.37483176312247646
399,Laurens GA,32.3932197,-82.9263171,0.3832381146704754
400,Lee GA,31.8184185,-84.1466814,0.23451717053125917
401,Liberty GA,31.8074582,-81.4578709,0.6466914038342609
402,Lincoln GA,33.7921507,-82.4482992,0.35833709896068683
403,Long GA,31.7495633,-81.7428697,0.37927406628090476
404,Lowndes GA,30.833145,-83.2689952,0.446380662799908
405,Lumpkin GA,34.5681403,-83.9989251,0.18844566712517194
406,Macon GA,32.3626859,-84.0512306,0.671616816565572
407,Madison GA,34.1285257,-83.2037373,0.22460374639769454
408,Marion GA,32.3593118,-84.5287354,0.44542586750788643
409,Meriwether GA,33.0292666,-84.6670579,0.46750863557858374
410,Miller GA,31.1629309,-84.7303983,0.307027027027027
411,Mitchell GA,31.228997,-84.192038,0.49317220543806645
412,Monroe GA,33.0174352,-83.9229376,0.30830007330781134
413,Montgomery GA,32.1721081,-82.5333487,0.2961899791231733
414,Morgan GA,33.5986956,-83.4994346,0.3049739669879251
415,Murray GA,34.7970974,-84.7379899,0.22662030846037265
416,Muscogee GA,32.510197,-84.874946,0.602991374304208
417,Newton GA,33.5440407,-83.8551837,0.5054124069019753
418,Oconee GA,33.8341247,-83.4377284,0.24813380479317507
419,Oglethorpe GA,33.8668062,-83.0740805,0.305117168818747
420,Paulding GA,33.9210299,-84.8671693,0.27570166727643336
421,Peach GA,32.5713241,-83.8319779,0.5338659256686349
422,Pickens GA,34.4567464,-84.4903508,0.1557570977917981
423,Pierce GA,31.353998,-82.2103703,0.16418346479696172
424,Pike GA,33.0812241,-84.3898475,0.16722160562338143
425,Polk GA,33.9960153,-85.1883384,0.265652557319224
426,Pulaski GA,32.2388026,-83.4818454,0.33107007061379684
427,Putnam GA,33.3210605,-83.3717898,0.31728475384949034
428,Quitman GA,31.8629381,-85.0047978,0.5425531914893617
429,Rabun GA,34.8839345,-83.4048701,0.2088972263164947
430,Randolph GA,31.762651,-84.7523108,0.578809679529104
431,Richmond GA,33.3614863,-82.0749982,0.6651480637813212
432,Rockdale GA,33.6520811,-84.0263696,0.5782591571484836
433,Schley GA,32.2634439,-84.3227083,0.2562929061784897
434,Screven GA,32.7447512,-81.6175849,0.4547540983606557
435,Seminole GA,30.9339599,-84.8676853,0.3921464579464049
436,Spalding GA,33.2623481,-84.2849046,0.39453125
437,Stephens GA,34.5529139,-83.2902156,0.22436302379448306
438,Stewart GA,32.073225,-84.8349117,0.6372832369942196
439,Sumter GA,32.0422659,-84.2042935,0.5388386442397093
440,Talbot GA,32.7046026,-84.5300288,0.648811228874248
441,Taliaferro GA,33.559319,-82.8752721,0.660436137071651
442,Tattnall GA,32.0437683,-82.0592081,0.28453577321133944
443,Taylor GA,32.5546668,-84.2514261,0.44431882419446017
444,Telfair GA,31.9136406,-82.9310634,0.41628228782287824
445,Terrell GA,31.7771909,-84.4394464,0.5784447476125512
446,Thomas GA,30.8646195,-83.9198155,0.4037883184720097
447,Tift GA,31.4570027,-83.5259307,0.33460185251669416
448,Toombs GA,32.1178118,-82.3306257,0.2938784246575342
449,Towns GA,34.9025294,-83.7322645,0.20495894380937046
450,Treutlen GA,32.4095857,-82.5708819,0.39054545454545453
451,Troup GA,33.034482,-85.02836,0.4058723928269068
452,Turner GA,31.7248005,-83.6203195,0.42427648215790953
453,Twiggs GA,32.6658469,-83.4258792,0.5402189433603046
